bairro,alteracao_mensal,preco_m2,preco_medio
Jardim Piqueroby,+0.41%,R$ 6.670,R$ 691.729
Fazenda Morumbi,-0.32%,R$ 6.667,R$ 3.876.959
Vila Caraguatá,+0.72%,R$ 6.665,R$ 767.481
Vila Guilherme,+0.07%,R$ 6.659,R$ 550.886
Vila Paulicéia,-0.10%,R$ 6.658,R$ 823.801
Jardim Previdência,+0.38%,R$ 6.656,R$ 481.944
Parque Residencial da Lapa,-0.43%,R$ 6.642,R$ 486.505
Lauzane Paulista,+0.44%,R$ 6.632,R$ 638.004
Parque Reboucas,+1.00%,R$ 6.626,R$ 499.597
Campos Elíseos,-0.10%,R$ 6.625,R$ 482.107
Jardim Paraíso,+0.25%,R$ 6.601,R$ 741.905
Vila das Mercês,-0.05%,R$ 6.595,R$ 498.557
Pirituba,+0.37%,R$ 6.587,R$ 592.721
Vila Gomes,-0.16%,R$ 6.579,R$ 639.249
Vila Carrão,+0.19%,R$ 6.554,R$ 718.776
Tucuruvi,+0.40%,R$ 6.526,R$ 1.055.893
Luz,+0.44%,R$ 6.519,R$ 418.266
Jardim Independência,+0.35%,R$ 6.518,R$ 577.694
Maranhão,+0.25%,R$ 6.518,R$ 523.054
Jardim Monte Kemel,+2.27%,R$ 6.478,R$ 829.586
Vila Mafra,+0.88%,R$ 6.467,R$ 944.183
Vila São Silvestre,+0.07%,R$ 6.461,R$ 912.074
Ferreira,+0.03%,R$ 6.445,R$ 681.400
Limão,-0.21%,R$ 6.431,R$ 452.072
Vila Moreira,+0.35%,R$ 6.423,R$ 502.030
Vila Cláudia,+0.71%,R$ 6.413,R$ 677.165
Vila Formosa,+0.11%,R$ 6.413,R$ 764.708
Jardim Íris,+0.73%,R$ 6.406,R$ 415.875
Jardim São Bento,-1.07%,R$ 6.400,R$ 3.356.399
Jardim Arpoador,-0.41%,R$ 6.393,R$ 709.611
Jaguaré,-0.55%,R$ 6.392,R$ 523.214
Vila Vermelha,+1.16%,R$ 6.387,R$ 482.127
Jardim da Saúde,-0.14%,R$ 6.386,R$ 1.341.150
Vila Santo Estéfano,-0.34%,R$ 6.386,R$ 781.483
Vila Emir,+1.17%,R$ 6.380,R$ 450.573
Vila Pirajussara,+0.56%,R$ 6.356,R$ 858.547
Água Fria,+0.21%,R$ 6.351,R$ 1.033.390
Vila Suzana,+0.39%,R$ 6.337,R$ 1.067.398
Jardim Novo Santo Amaro,+2.04%,R$ 6.335,R$ 561.136
Jardim das Laranjeiras,+1.80%,R$ 6.319,R$ 623.949
Socorro,+0.33%,R$ 6.304,R$ 466.007
Jardim Umuarama,+0.10%,R$ 6.295,R$ 624.723
Vila Butantã,+0.56%,R$ 6.286,R$ 459.541
Vila Parque Jabaquara,+0.07%,R$ 6.283,R$ 521.795
Jardim das Vertentes,+0.58%,R$ 6.276,R$ 709.739
Água Funda,+0.36%,R$ 6.264,R$ 418.199
Vila Lageado,-0.48%,R$ 6.252,R$ 576.597
Vila Polopoli,+0.38%,R$ 6.243,R$ 569.029
Jardim Ibitirama,+0.53%,R$ 6.226,R$ 432.516
Freguesia do Ó,+0.58%,R$ 6.220,R$ 592.968
Rio Pequeno,-0.08%,R$ 6.207,R$ 731.508
Jardim Bélgica,+0.73%,R$ 6.192,R$ 1.277.971
Vila Anhangüera,+0.39%,R$ 6.151,R$ 869.110
Vila Morse,+0.23%,R$ 6.149,R$ 783.219
Nossa Senhora do Ó,-0.15%,R$ 6.135,R$ 542.591
Vila Canero,+1.39%,R$ 6.122,R$ 702.174
Sacomã,-0.01%,R$ 6.119,R$ 515.960
Vila Maria Alta,+0.70%,R$ 6.103,R$ 917.031
Jardim do Colégio,+0.51%,R$ 6.099,R$ 929.270
Jardim Ampliação,+0.01%,R$ 6.094,R$ 731.931
Vila Independência,+1.80%,R$ 6.075,R$ 449.837
Bom Retiro,+0.01%,R$ 6.074,R$ 533.131
Vila Prel,+0.23%,R$ 6.043,R$ 573.251
Vila Graciosa,+0.89%,R$ 6.028,R$ 682.201
Jardim Consórcio,+0.27%,R$ 6.025,R$ 783.051
Vila Gea,+1.01%,R$ 6.019,R$ 705.256
Vila Gustavo,+0.55%,R$ 6.014,R$ 540.710
Vila Inah,+0.24%,R$ 6.007,R$ 2.066.072
Vila Albertina,+0.97%,R$ 5.979,R$ 1.295.566
